Zia Babar,Zia Babar,https://dblp.org/pid/163/0232,1.0
Igor Mazor,,,0
Gerhard Weikum,Gerhard Weikum,https://dblp.org/pid/w/GerhardWeikum,1.0
Andrew McCallum,Andrew McCallum,https://dblp.org/pid/m/AndrewMcCallum,1.0
Bruce Croft,W. Bruce Croft,https://dblp.org/pid/c/WBruceCroft,0.8376623376623377
Laura Dietz,Laura Dietz,https://dblp.org/pid/85/5754,1.0
Tobias Scheffer,Tobias Scheffer,https://dblp.org/pid/s/TobiasScheffer,1.0
Ken North,,,0
Blake Jackson,Blake Jackson,https://dblp.org/pid/213/1752,1.0
Chris Mount,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
María de Maeztu,,,0
Kim Falk Jørgensen,,,0
Gopal Karemore,Gopal Karemore,https://dblp.org/pid/68/4640,1.0
Philip Jarnus,,,0
Roman Yurchak,Roman Yurchak,https://dblp.org/pid/203/8791,1.0
MUHAMMAD ANDRY KURNIAWAN,,,0
DAN SHARE,,,0
Frank Kane,,,0
Pooja Agarwal,Pooja Agarwal,https://dblp.org/pid/44/7903,1.0
Mustafa Jarrar,Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar,1.0
Thorsten Joachims,Thorsten Joachims,https://dblp.org/pid/j/ThorstenJoachims,1.0
Rey Magnaye,,,0
Justin Pontino,,,0
Michael D. Ekstrand,Michael D. Ekstrand,https://dblp.org/pid/69/7949,1.0
Joseph A Konstan,Joseph A. Konstan,https://dblp.org/pid/09/3004,0.9882352941176471
Edit Distance (Levenshtein Distance),,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
James She,James She,https://dblp.org/pid/98/4279,1.0
Sergio Inzunza,Sergio Inzunza,https://dblp.org/pid/122/2165,1.0
Mike van der Velden,,,0
Dan Gillick,Daniel Gillick,https://dblp.org/pid/73/7157,0.8863636363636364
KAY MARIANG INA NG OLAP,,,0
"Santo
Anak",,,0
Gabriel kay Mariang,,,0
Danny Mendiola,,,0
Sam Tawfik,,,0
Carlos - Mocha Geovanny,,,0
Luis - Jimenez Carlos,,,0
Michael D Ekstrand,Michael D. Ekstrand,https://dblp.org/pid/69/7949,0.9894736842105263
Joseph A Konstan,Joseph A. Konstan,https://dblp.org/pid/09/3004,0.9882352941176471
Martina Ziefle,Martina Ziefle,https://dblp.org/pid/90/6913,1.0
Mustafa Jarrar,Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar,1.0
Terry Gilliam,,,0
Vijay Kumar,Vijay Kumar Jha,https://dblp.org/pid/177/5815,0.9466666666666667
"Gabriel Moreira
Gabriel Moreira",Gabriel Gonçalves Moreira,https://dblp.org/pid/233/2890,0.8558648233486943
Cara membuat,,,0
Ian H. Witten,Ian H. Witten,https://dblp.org/pid/w/IanHWitten,1.0
Marti Hearst,Marti A. Hearst,https://dblp.org/pid/h/MartiAHearst,0.96
Alpa Jain,Alpa Jain,https://dblp.org/pid/68/6659,1.0
Vincent Isoz,,,0
Jason Hong,Jason Hong,https://dblp.org/pid/04/7125,1.0
Nikita Ivanov,,,0
Peter Zaitsev,Peter Zaitsev,https://dblp.org/pid/140/8716,1.0
Iván Cantador,Iván Cantador,https://dblp.org/pid/29/791,1.0
Paolo Tomeo,Paolo Tomeo,https://dblp.org/pid/151/6893,1.0
Eugenio Di Sciascio,Eugenio Di Sciascio,https://dblp.org/pid/s/EugenioDiSciascio,1.0
Lotfi Zadeh,Lotfi A. Zadeh,https://dblp.org/pid/z/LAZadeh,0.9571428571428571
Ahsan Ashraf,,,0
Mustafa Jarrar,Mustafa Jarrar,https://dblp.org/pid/j/MustafaJarrar,1.0
Justin Basilico,Justin Basilico,https://dblp.org/pid/55/3673,1.0
Misa Inmaculada Concepcion,,,0
Concepcion - Alejandro Consolacion,,,0
Justin Pontino,,,0
Hannah Bast,Hannah Bast,https://dblp.org/pid/b/HannahBast,1.0
Maria Clara,Maria Clara Fava,https://dblp.org/pid/151/4020,0.9375
Peter Bloem,Peter Bloem,https://dblp.org/pid/151/0108,1.0
Andy Pavlo,Andrew Pavlo,https://dblp.org/pid/58/4127,0.9183333333333333
Chung Chen,Chung-Li Chen,https://dblp.org/pid/181/4005,0.9538461538461538
ALEX LLUMITAXI,,,0
Diego Palacios,Diego Palacios,https://dblp.org/pid/187/2288,1.0
"LLUMITAXI
PAUL GAIBOR",,,0
Yuan Yao,Yuan Yao,https://dblp.org/pid/25/4120,1.0
Jian Lu,Jian-Yi Lu,https://dblp.org/pid/41/10698,0.9400000000000001
Soraya Hausl,,,0
Ryan Henry,Ryan Henry,https://dblp.org/pid/86/8283,1.0
Cassandra Tutorial,,,0
Anita Hillhouse,,,0
Frank Kane,,,0
Steve Tjoa,Steven K. Tjoa,https://dblp.org/pid/52/717,0.9428571428571428
Leo Boytsov,Leonid Boytsov,https://dblp.org/pid/31/9869,0.95
